Week,Month,Day,Time,Year,Model,Market,Factors,ExpName[i],Alpha,card(tot_iis_indices),Price,TSS,TCS,TPF,MV,CSL,CSLM,CSUM,CSH,PL,PLM,PUM,PH,g[1],g[2],g[3],g[4],g[5],g[6],g[7],g[8],g[9],g[10],g[11],g[12],g[13],g[14],g[15],g[16],g[17],g[18],g[19],g[20],g[21],g[22],g[23],g[24],g[25],g[26],g[27],g[28],g[29],g[30],g[31],g[32],g[33],g[34],g[35],g[36],g[37],g[38],g[39],g[40],g[41],g[42],g[43],g[44],g[45],g[46],g[47],g[48],g[49],g[50],g[51],g[52],Prod,Cos
Fri,May,1,0.604108796,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e13.dat,1,0,Average,16949231164,7502859955,8872046000,33629487645,753382763,2208402076,2093398927,2447676189,1277068343,3609240839,3246841451,2864914575,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.604212963,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e14.dat,1,0,Average,16985056238,7530418865,8881492745,33714795993,818045783.7,2239069695,1952322788,2520980598,1465928204,3412017422,3363045893,2883980059,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.604340278,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e15.dat,1,0,Average,16956398354,7432784136,8867389521,33665182108,860654916.6,2149066301,1918569760,2504493159,1361509469,3597009030,3341554542,2869525125,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.604456019,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e16.dat,1,0,Average,16972423843,7495315544,8914556434,33672114845,795255075.7,2201414549,2036936546,2461709373,1270582983,3700765380,3323334358,2863352546,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.604583333,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e17.dat,1,0,Average,16939609035,7605563498,8848941547,33678931848,798497716.8,2062991960,2267243951,2476829871,1149523511,3649357645,3190949565,2844178485,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.604699074,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e18.dat,1,0,Average,16967792196,7639412385,8911768082,33714132286,736308876.9,2369563615,2104471249,2429068644,1190949734,3669025168,3251653561,2808699202,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.604814815,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e19.dat,1,0,Average,17040018017,7379139305,8892933843,33850874275,740672191.5,2218153319,1936869829,2483443965,1563579779,3598098549,3225349873,2925573913,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.604930556,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e20.dat,1,0,Average,16982034794,7563333232,8904893210,33760874605,858612931.3,2060402477,2164188472,2480129352,1394348242,3562258217,3213702277,2848857720,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.605046296,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e21.dat,1,0,Average,16914046554,7441157858,8880394423,33640176065,702987471.1,2291532596,2036066773,2410571018,1398289855,3594806789,3276211952,2831072735,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.605162037,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e22.dat,1,0,Average,16882309395,7445386497,8879143249,33470341981,747637174.3,2059440363,2207026684,2431282275,1289031864,3740304869,3227146333,2866139016,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
