Week,Month,Day,Time,Year,Model,Market,Factors,ExpName[i],Alpha,card(tot_iis_indices),Price,TSS,TCS,TPF,MV,CSL,CSLM,CSUM,CSH,PL,PLM,PUM,PH,TSS/MV,TCS/MV,TPF/MV,MV/MV,CSL/MV,CSLM/MV,CSUM/MV,CSH/MV,PL/MV,PLM/MV,PUM/MV,PH/MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:33,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e4.dat,1,0,High,16883864827,-9794636.424,16893659463,33591913361,-9794636.424,0,0,0,2420522328,5441807259,5505706129,5451961593,0.502616944,-0.000291577,0.502908521,1,-0.000291577,0,0,0,0.072056697,0.161997538,0.163899748,0.162299823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:33,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e4.dat,1,0,Average,16883864827,7437260381,8883691005,33591913361,719569523.7,2140046220,2170718107,2406926531,1538222712,3449461599,3291804173,2812443467,0.502616944,0.22140032,0.264459214,1,0.021420915,0.063707184,0.064620258,0.071651963,0.045791459,0.102687262,0.097993947,0.083723825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:42,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e5.dat,1,0,Low,16983881956,16697610159,286271797.5,33703878280,1880505274,4503537510,4963205659,5350361716,490740408.6,620480466.9,699032160.1,261405058.3,0.503914767,0.495421032,0.008493735,1,0.055794922,0.13362075,0.147259185,0.158746174,0.014560354,0.018409765,0.020740407,0.007755934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:42,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e5.dat,1,0,High,16983881956,-22386164.57,17006268121,33703878280,-22386164.57,0,0,0,2393631847,5124017977,5662237819,5611766775,0.503914767,-0.000664201,0.504578968,1,-0.000664201,0,0,0,0.071019478,0.152030515,0.167999593,0.166502108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:42,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e5.dat,1,0,Average,16983881956,7281503310,8891760360,33703878280,716665382.8,1891714636,2190963121,2482160170,1450638016,3716622342,3324281620,2866870501,0.503914767,0.216043485,0.263820095,1,0.021263588,0.056127506,0.065006261,0.073646129,0.043040685,0.110272839,0.098632021,0.085060552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:53,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e6.dat,1,1,Low,17168225454,16922821166,245404287.9,34100870743,1737017334,5026316576,4901302618,5258184638,314795986.6,636118019.1,719629459.7,336755193.9,0.503454166,0.496257743,0.007196423,1,0.050937624,0.147395549,0.143729544,0.154195026,0.009231318,0.018654011,0.021102964,0.009875267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:53,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e6.dat,1,1,High,17168225454,-9824123.408,17178049577,34100870743,-9824123.408,0,0,0,2061637444,5662434596,5620932077,5594939832,0.503454166,-0.00028809,0.503742257,1,-0.00028809,0,0,0,0.060457032,0.16604956,0.164832509,0.164070292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:13:53,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e6.dat,1,1,Average,17168225454,7696591178,9030040368,34100870743,878982026.7,2187702817,2095269290,2534637044,1484008689,3418306396,3259071994,2900704798,0.503454166,0.225700723,0.264803806,1,0.025775941,0.06415387,0.061443278,0.074327634,0.043518205,0.10024103,0.095571518,0.085062485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:02,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e7.dat,1,2,Low,17011577340,16827261090,184316250.1,33849713085,1792745062,4849093900,4855532668,5329889460,459565411.2,759219695.8,653638212.9,238230776.3,0.502561936,0.497116801,0.005445135,1,0.052961898,0.143253619,0.143443835,0.157457449,0.013576641,0.022429132,0.019310007,0.007037896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:02,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e7.dat,1,2,High,17011577340,-10874655.26,17022451995,33849713085,-10839392.47,-35262.7865,0,0,2263149866,5608348858,5509170881,5568120236,0.502561936,-0.000321263,0.502883199,1,-0.000320221,-1.04175E-06,0,0,0.066858761,0.165683793,0.162753843,0.164495345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
